Customer Order No,Line No,Order Date,Order Details,Project No,Project Element,Division Code,Confirmed Delivery Date 1,Requested Delivery Date 1,Currency Code,Salesperson,Customer Order Type,Ord Line Status,Line Suffix,Alsis Code,Customer Order Line No,Salesperson Name
 4M04699  ,12,12/2/2019,Ord: 4M04699  - Line:12   ,       ,        ,P3A,12/18/2019,12/2/2019,   ,AMHS,QUO,05,0,3105 , 4M04699  120,After Sales Marine HSS
 4M04699  ,13,12/2/2019,Ord: 4M04699  - Line:13   ,       ,        ,P3A,12/2/2019,12/2/2019,   ,AMHS,QUO,05,0,3105 , 4M04699  130,After Sales Marine HSS
 4M04699  ,14,12/2/2019,Ord: 4M04699  - Line:14   ,       ,        ,P3A,12/2/2019,12/2/2019,   ,AMHS,QUO,05,0,3105 , 4M04699  140,After Sales Marine HSS
 4M04699  ,15,12/2/2019,Ord: 4M04699  - Line:15   ,       ,        ,P3A,12/2/2019,12/2/2019,   ,AMHS,QUO,05,0,3105 , 4M04699  150,After Sales Marine HSS
 4M04699  ,16,12/2/2019,Ord: 4M04699  - Line:16   ,       ,        ,P3A,12/18/2019,12/2/2019,   ,AMHS,QUO,05,0,3105 , 4M04699  160,After Sales Marine HSS
 4M04699  ,17,12/2/2019,Ord: 4M04699  - Line:17   ,       ,        ,P3A,12/2/2019,12/2/2019,   ,AMHS,QUO,05,0,3105 , 4M04699  170,After Sales Marine HSS
 4M04699  ,18,12/2/2019,Ord: 4M04699  - Line:18   ,       ,        ,P3A,12/2/2019,12/2/2019,   ,AMHS,QUO,05,0,3105 , 4M04699  180,After Sales Marine HSS
 4M04699  ,19,12/2/2019,Ord: 4M04699  - Line:19   ,       ,        ,P3A,12/18/2019,12/2/2019,   ,AMHS,QUO,05,0,3105 , 4M04699  190,After Sales Marine HSS
 4M04699  ,20,12/2/2019,Ord: 4M04699  - Line:20   ,       ,        ,P3A,12/18/2019,12/2/2019,   ,AMHS,QUO,05,0,3105 , 4M04699  200,After Sales Marine HSS
 4M04699  ,21,12/2/2019,Ord: 4M04699  - Line:21   ,       ,        ,P3A,12/2/2019,12/2/2019,   ,AMHS,QUO,05,0,3105 , 4M04699  210,After Sales Marine HSS
 4M04699  ,22,12/2/2019,Ord: 4M04699  - Line:22   ,       ,        ,P3A,12/2/2019,12/2/2019,   ,AMHS,QUO,05,0,3105 , 4M04699  220,After Sales Marine HSS
 4M04699  ,23,12/2/2019,Ord: 4M04699  - Line:23   ,       ,        ,P3A,12/18/2019,12/2/2019,   ,AMHS,QUO,05,0,3105 , 4M04699  230,After Sales Marine HSS
 4M04700  ,1,12/16/2019,Ord: 4M04700  - Line:1    ,       ,        ,P3A,1/1/2020,12/16/2019,   ,AMHS,QUO,05,0,3105 , 4M04700  10,After Sales Marine HSS
 4M04700  ,2,12/16/2019,Ord: 4M04700  - Line:2    ,       ,        ,P3A,1/1/2020,12/16/2019,   ,AMHS,QUO,05,0,3105 , 4M04700  20,After Sales Marine HSS
 4M04700  ,3,12/16/2019,Ord: 4M04700  - Line:3    ,       ,        ,P3A,12/16/2019,12/16/2019,   ,AMHS,QUO,05,0,3105 , 4M04700  30,After Sales Marine HSS
 4M04700  ,4,12/16/2019,Ord: 4M04700  - Line:4    ,       ,        ,P3A,12/16/2019,12/16/2019,   ,AMHS,QUO,05,0,3105 , 4M04700  40,After Sales Marine HSS
 4M04701  ,1,2/28/2020,Ord: 4M04701  - Line:1    ,       ,        ,P3A,2/28/2020,2/28/2020,   ,AMHS,QUO,05,0,3105 , 4M04701  10,After Sales Marine HSS
 4M04701  ,2,2/28/2020,Ord: 4M04701  - Line:2    ,       ,        ,P3A,3/16/2020,2/28/2020,   ,AMHS,QUO,05,0,3105 , 4M04701  20,After Sales Marine HSS
 4M04701  ,3,2/28/2020,Ord: 4M04701  - Line:3    ,       ,        ,P3A,3/16/2020,2/28/2020,   ,AMHS,QUO,05,0,3105 , 4M04701  30,After Sales Marine HSS
 4M04701  ,4,2/28/2020,Ord: 4M04701  - Line:4    ,       ,        ,P3A,2/28/2020,2/28/2020,   ,AMHS,QUO,05,0,3105 , 4M04701  40,After Sales Marine HSS
 4M04701  ,5,2/28/2020,Ord: 4M04701  - Line:5    ,       ,        ,P3A,2/28/2020,2/28/2020,   ,AMHS,QUO,05,0,3105 , 4M04701  50,After Sales Marine HSS
 4M04702  ,1,10/26/2021,Ord: 4M04702  - Line:1    ,       ,        ,P3A,11/23/2021,10/26/2021,   ,AMHS,QUO,05,0,3105 , 4M04702  10,After Sales Marine HSS
 4M04702  ,2,10/26/2021,Ord: 4M04702  - Line:2    ,       ,        ,P3A,11/23/2021,10/26/2021,   ,AMHS,QUO,05,0,3105 , 4M04702  20,After Sales Marine HSS
0000023270,1,5/26/2008,Ord:0000023270- Line:1    ,       ,        ,P3A,5/26/2008,5/26/2008,   ,212 ,SRN,77,0,9999 ,000002327010,"Separation - Machine Shop, Pune H.O."
0000023434,1,5/29/2008,Ord:0000023434- Line:1    ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,000002343410,EPS
0000023434,2,5/29/2008,Ord:0000023434- Line:2    ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,000002343420,EPS
0000023434,3,5/29/2008,Ord:0000023434- Line:3    ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,000002343430,EPS
0000023434,4,5/29/2008,Ord:0000023434- Line:4    ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,000002343440,EPS
0000023434,5,5/29/2008,Ord:0000023434- Line:5    ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,000002343450,EPS
0000023434,6,5/29/2008,Ord:0000023434- Line:6    ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,000002343460,EPS
0000023434,7,5/29/2008,Ord:0000023434- Line:7    ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,000002343470,EPS
0000023434,8,5/29/2008,Ord:0000023434- Line:8    ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,000002343480,EPS
0000023434,9,5/29/2008,Ord:0000023434- Line:9    ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,000002343490,EPS
0000023434,10,5/29/2008,Ord:0000023434- Line:10   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434100,EPS
0000023434,11,5/29/2008,Ord:0000023434- Line:11   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434110,EPS
0000023434,12,5/29/2008,Ord:0000023434- Line:12   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434120,EPS
0000023434,13,5/29/2008,Ord:0000023434- Line:13   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434130,EPS
0000023434,14,5/29/2008,Ord:0000023434- Line:14   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434140,EPS
0000023434,15,5/29/2008,Ord:0000023434- Line:15   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434150,EPS
0000023434,16,5/29/2008,Ord:0000023434- Line:16   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434160,EPS
0000023434,17,5/29/2008,Ord:0000023434- Line:17   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434170,EPS
0000023434,18,5/29/2008,Ord:0000023434- Line:18   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434180,EPS
0000023434,19,5/29/2008,Ord:0000023434- Line:19   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434190,EPS
0000023434,20,5/29/2008,Ord:0000023434- Line:20   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434200,EPS
0000023434,21,5/29/2008,Ord:0000023434- Line:21   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434210,EPS
0000023434,22,5/29/2008,Ord:0000023434- Line:22   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434220,EPS
0000023434,23,5/29/2008,Ord:0000023434- Line:23   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434230,EPS
0000023434,24,5/29/2008,Ord:0000023434- Line:24   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434240,EPS
0000023434,25,5/29/2008,Ord:0000023434- Line:25   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434250,EPS
0000023434,26,5/29/2008,Ord:0000023434- Line:26   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434260,EPS
0000023434,27,5/29/2008,Ord:0000023434- Line:27   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434270,EPS
0000023434,28,5/29/2008,Ord:0000023434- Line:28   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434280,EPS
0000023434,29,5/29/2008,Ord:0000023434- Line:29   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,     ,0000023434290,EPS
0000023434,30,5/29/2008,Ord:0000023434- Line:30   ,       ,        ,P3A,6/15/2008,6/15/2008,   ,4101,QUO,05,0,4476 ,0000023434300,EPS
0000023525,1,5/31/2008,Ord:0000023525- Line:1    ,       ,        ,P3A,5/31/2008,5/31/2008,   ,212 ,SRN,77,0,9999 ,000002352510,"Separation - Machine Shop, Pune H.O."
0000023724,1,6/7/2008,Ord:0000023724- Line:1    ,       ,        ,P3A,6/7/2008,6/7/2008,   ,212 ,SRN,77,0,9999 ,000002372410,"Separation - Machine Shop, Pune H.O."
0000023729,1,6/9/2008,Ord:0000023729- Line:1    ,       ,        ,P3A,6/20/2008,8/10/2008,   ,4101,QUO,05,0,4472 ,000002372910,EPS
0000023730,1,6/16/2008,Ord:0000023730- Line:1    ,       ,        ,P3A,8/30/2008,8/30/2008,   ,4101,QUO,05,0,     ,000002373010,EPS
0000023730,2,6/16/2008,Ord:0000023730- Line:2    ,       ,        ,P3A,8/30/2008,8/30/2008,   ,4101,QUO,05,0,     ,000002373020,EPS
0000023730,3,6/16/2008,Ord:0000023730- Line:3    ,       ,        ,P3A,8/30/2008,8/30/2008,   ,4101,QUO,05,0,     ,000002373030,EPS
0000023783,1,6/10/2008,Ord:0000023783- Line:1    ,       ,        ,P3A,6/10/2008,6/10/2008,   ,4101,QUO,05,0,     ,000002378310,EPS
0000023783,2,6/10/2008,Ord:0000023783- Line:2    ,       ,        ,P3A,6/10/2008,6/10/2008,   ,4101,QUO,05,0,     ,000002378320,EPS
0000023804,1,6/11/2008,Ord:0000023804- Line:1    ,       ,        ,P3A,6/30/2008,6/30/2008,   ,4101,QUO,05,0,4472 ,000002380410,EPS
0000023804,2,6/11/2008,Ord:0000023804- Line:2    ,       ,        ,P3A,6/30/2008,6/30/2008,   ,4101,QUO,05,0,4472 ,000002380420,EPS
0000023804,3,6/11/2008,Ord:0000023804- Line:3    ,       ,        ,P3A,6/30/2008,6/30/2008,   ,4101,QUO,05,0,     ,000002380430,EPS
0000023958,1,6/17/2008,Ord:0000023958- Line:1    ,       ,        ,P3A,6/17/2008,6/17/2008,   ,212 ,SRN,77,0,9999 ,000002395810,"Separation - Machine Shop, Pune H.O."
0000024074,1,6/21/2008,Ord:0000024074- Line:1    ,       ,        ,P3A,6/21/2008,6/21/2008,   ,212 ,SRN,77,0,9999 ,000002407410,"Separation - Machine Shop, Pune H.O."
0000024074,2,6/21/2008,Ord:0000024074- Line:2    ,       ,        ,P3A,6/21/2008,6/21/2008,   ,212 ,SRN,77,0,9999 ,000002407420,"Separation - Machine Shop, Pune H.O."
0000024342,1,6/30/2008,Ord:0000024342- Line:1    ,       ,        ,P3A,6/30/2008,6/30/2008,   ,212 ,SRN,77,0,9999 ,000002434210,"Separation - Machine Shop, Pune H.O."
0000024826,1,7/18/2008,Ord:0000024826- Line:1    ,       ,        ,P3A,7/18/2008,7/18/2008,   ,202 ,SRN,77,0,9999 ,000002482610,Mfg-Common Services
0000024828,1,7/18/2008,Ord:0000024828- Line:1    ,       ,        ,P3A,7/18/2008,7/18/2008,   ,202 ,SRP,77,0,9999 ,000002482810,Mfg-Common Services
0000024830,1,7/18/2008,Ord:0000024830- Line:1    ,       ,        ,P3A,7/18/2008,7/18/2008,   ,202 ,SRP,77,0,9999 ,000002483010,Mfg-Common Services
0000024832,1,7/19/2008,Ord:0000024832- Line:1    ,       ,        ,P3A,7/19/2008,7/19/2008,   ,212 ,SRN,77,0,9999 ,000002483210,"Separation - Machine Shop, Pune H.O."
0000024855,1,7/21/2008,Ord:0000024855- Line:1    ,       ,        ,P3A,7/21/2008,7/21/2008,   ,212 ,SRN,77,0,9999 ,000002485510,"Separation - Machine Shop, Pune H.O."
0000025031,1,7/28/2008,Ord:0000025031- Line:1    ,       ,        ,P3A,7/28/2008,7/30/2008,   ,202 ,SRP,77,0,9999 ,000002503110,Mfg-Common Services
0000025031,2,7/28/2008,Ord:0000025031- Line:2    ,       ,        ,P3A,7/29/2008,7/29/2008,   ,202 ,SRP,77,0,9999 ,000002503120,Mfg-Common Services
0000025059,1,7/29/2008,Ord:0000025059- Line:1    ,       ,        ,P3A,7/29/2008,7/29/2008,   ,448 ,SRP,77,0,9999 ,000002505910,"P&S - Other (PHE,Separation) - Satara"
0000025112,1,7/31/2008,Ord:0000025112- Line:1    ,       ,        ,P3A,7/31/2008,7/31/2008,   ,2113,SRP,99,0,null,000002511210,HSS ORDER- HANDLING
0000025115,1,7/31/2008,Ord:0000025115- Line:1    ,       ,        ,P3A,7/31/2008,7/31/2008,   ,212 ,SRN,77,0,9999 ,000002511510,"Separation - Machine Shop, Pune H.O."
0000025579,1,8/18/2008,Ord:0000025579- Line:1    ,       ,        ,P3A,8/30/2008,8/30/2008,   ,212 ,SRN,77,0,9999 ,000002557910,"Separation - Machine Shop, Pune H.O."
0000025579,2,8/18/2008,Ord:0000025579- Line:2    ,       ,        ,P3A,8/29/2008,8/29/2008,   ,212 ,SRN,77,0,9999 ,000002557920,"Separation - Machine Shop, Pune H.O."
0000025580,1,8/19/2008,Ord:0000025580- Line:1    ,       ,        ,P3A,8/30/2008,8/30/2008,   ,212 ,SRN,77,0,9999 ,000002558010,"Separation - Machine Shop, Pune H.O."
0000025812,1,9/6/2008,Ord:0000025812- Line:1    ,       ,        ,P3A,9/6/2008,9/6/2008,   ,202 ,SRN,77,0,9999 ,000002581210,Mfg-Common Services
0000025874,1,9/9/2008,Ord:0000025874- Line:1    ,       ,        ,P3A,9/15/2008,9/15/2008,   ,202 ,SRP,77,0,9999 ,000002587410,Mfg-Common Services
0000025915,1,9/11/2008,Ord:0000025915- Line:1    ,       ,        ,P3A,9/15/2008,9/15/2008,   ,202 ,SRN,77,0,9999 ,000002591510,Mfg-Common Services
0000025915,2,9/11/2008,Ord:0000025915- Line:2    ,       ,        ,P3A,9/25/2008,9/25/2008,   ,202 ,SRN,77,0,9999 ,000002591520,Mfg-Common Services
0000025917,1,9/11/2008,Ord:0000025917- Line:1    ,       ,        ,P3A,9/15/2008,9/15/2008,   ,202 ,SRN,77,0,9999 ,000002591710,Mfg-Common Services
0000025917,2,9/11/2008,Ord:0000025917- Line:2    ,       ,        ,P3A,9/20/2008,9/20/2008,   ,202 ,SRN,77,0,9999 ,000002591720,Mfg-Common Services
0000025917,3,9/11/2008,Ord:0000025917- Line:3    ,       ,        ,P3A,9/25/2008,9/25/2008,   ,202 ,SRN,77,0,9999 ,000002591730,Mfg-Common Services
0000027022,1,11/3/2008,Ord:0000027022- Line:1    ,       ,        ,P3A,11/20/2008,11/20/2008,   ,4101,QUO,05,0,     ,000002702210,EPS
0000027022,2,11/3/2008,Ord:0000027022- Line:2    ,       ,        ,P3A,11/20/2008,11/20/2008,   ,4101,QUO,05,0,     ,000002702220,EPS
0000027022,3,11/3/2008,Ord:0000027022- Line:3    ,       ,        ,P3A,11/20/2008,11/20/2008,   ,4101,QUO,05,0,     ,000002702230,EPS
0000027022,4,11/3/2008,Ord:0000027022- Line:4    ,       ,        ,P3A,11/20/2008,11/20/2008,   ,4101,QUO,05,0,     ,000002702240,EPS
0000027022,5,11/3/2008,Ord:0000027022- Line:5    ,       ,        ,P3A,11/20/2008,11/20/2008,   ,4101,QUO,05,0,     ,000002702250,EPS
0000027022,6,11/3/2008,Ord:0000027022- Line:6    ,       ,        ,P3A,11/20/2008,11/20/2008,   ,4101,QUO,05,0,     ,000002702260,EPS
0000028946,1,1/21/2009,Ord:0000028946- Line:1    ,       ,        ,P3A,2/21/2009,2/21/2009,   ,4102,QUO,05,0,     ,000002894610,PPS
0000028946,2,1/21/2009,Ord:0000028946- Line:2    ,       ,        ,P3A,2/21/2009,2/21/2009,   ,4102,QUO,05,0,     ,000002894620,PPS
0000028946,3,1/21/2009,Ord:0000028946- Line:3    ,       ,        ,P3A,2/21/2009,2/21/2009,   ,4102,QUO,05,0,     ,000002894630,PPS
0000032037,1,4/29/2009,Ord:0000032037- Line:1    ,       ,        ,P3A,5/15/2009,5/15/2009,   ,4102,QUO,05,0,8472 ,000003203710,PPS
0000032037,2,4/29/2009,Ord:0000032037- Line:2    ,       ,        ,P3A,5/15/2009,5/15/2009,   ,4102,QUO,05,0,8472 ,000003203720,PPS
0000032037,4,4/29/2009,Ord:0000032037- Line:4    ,       ,        ,P3A,5/15/2009,5/15/2009,   ,4102,QUO,05,0,8472 ,000003203740,PPS
0000032037,6,4/29/2009,Ord:0000032037- Line:6    ,       ,        ,P3A,5/15/2009,5/15/2009,   ,4102,QUO,05,0,8472 ,000003203760,PPS
0000032037,7,4/29/2009,Ord:0000032037- Line:7    ,       ,        ,P3A,5/15/2009,5/15/2009,   ,4102,QUO,05,0,8472 ,000003203770,PPS
0000032037,8,4/29/2009,Ord:0000032037- Line:8    ,       ,        ,P3A,5/15/2009,5/15/2009,   ,4102,QUO,05,0,4474 ,000003203780,PPS
0000032037,9,4/29/2009,Ord:0000032037- Line:9    ,       ,        ,P3A,5/15/2009,5/15/2009,   ,4102,QUO,05,0,4474 ,000003203790,PPS
0000047703,1,6/10/2010,Ord:0000047703- Line:1    ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,000004770310,MU IMP
0000047703,2,6/10/2010,Ord:0000047703- Line:2    ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,000004770320,MU IMP
0000047703,3,6/10/2010,Ord:0000047703- Line:3    ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,000004770330,MU IMP
0000047703,4,6/10/2010,Ord:0000047703- Line:4    ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,000004770340,MU IMP
0000047703,5,6/10/2010,Ord:0000047703- Line:5    ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,000004770350,MU IMP
0000047703,6,6/10/2010,Ord:0000047703- Line:6    ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,000004770360,MU IMP
0000047703,7,6/10/2010,Ord:0000047703- Line:7    ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,000004770370,MU IMP
0000047703,8,6/10/2010,Ord:0000047703- Line:8    ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,000004770380,MU IMP
0000047703,9,6/10/2010,Ord:0000047703- Line:9    ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,000004770390,MU IMP
0000047703,10,6/10/2010,Ord:0000047703- Line:10   ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,0000047703100,MU IMP
0000047703,11,6/10/2010,Ord:0000047703- Line:11   ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,0000047703110,MU IMP
0000047703,12,6/10/2010,Ord:0000047703- Line:12   ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,0000047703120,MU IMP
0000047703,13,6/10/2010,Ord:0000047703- Line:13   ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,0000047703130,MU IMP
0000047703,14,6/10/2010,Ord:0000047703- Line:14   ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,0000047703140,MU IMP
0000047703,15,6/10/2010,Ord:0000047703- Line:15   ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,0000047703150,MU IMP
0000047703,16,6/10/2010,Ord:0000047703- Line:16   ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,0000047703160,MU IMP
0000047703,17,6/10/2010,Ord:0000047703- Line:17   ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,0000047703170,MU IMP
0000047703,18,6/10/2010,Ord:0000047703- Line:18   ,       ,        ,P3A,7/31/2010,7/31/2010,   ,6810,QUO,05,0,     ,0000047703180,MU IMP
0000059724,1,3/10/2011,Ord:0000059724- Line:1    ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,000005972410,EPS
0000059724,2,3/10/2011,Ord:0000059724- Line:2    ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,000005972420,EPS
0000059724,3,3/10/2011,Ord:0000059724- Line:3    ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,000005972430,EPS
0000059724,4,3/10/2011,Ord:0000059724- Line:4    ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,000005972440,EPS
0000059724,5,3/10/2011,Ord:0000059724- Line:5    ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,000005972450,EPS
0000059724,6,3/10/2011,Ord:0000059724- Line:6    ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,000005972460,EPS
0000059724,7,3/10/2011,Ord:0000059724- Line:7    ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,000005972470,EPS
0000059724,8,3/10/2011,Ord:0000059724- Line:8    ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,000005972480,EPS
0000059724,9,3/10/2011,Ord:0000059724- Line:9    ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,000005972490,EPS
0000059724,10,3/10/2011,Ord:0000059724- Line:10   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724100,EPS
